qseqid	DB ID	Protein description	DB description	EC number	CDD ID	taxonomic_range_name	taxonomic_range	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	General functional category	Functional category	KO
sp|A0B9K2|AATA_METTP	pfam00006	ATP synthase alpha/beta family, nucleotide-binding domain (Provisional)	ATP synthase alpha/beta family, nucleotide-binding domain. This entry includes the ATP synthase alpha and beta subunits, the ATP synthase associated with flagella and the termination factor Rho.		CDD:425417	cellular organisms	131567	39.189	222.0	125.0	2.0	208.0	429.0	1.0	212.0	9.430000000000001e-107	317.0			
sp|A0B9K2|AATA_METTP	pfam02874	ATP synthase alpha/beta family, beta-barrel domain (Provisional)	ATP synthase alpha/beta family, beta-barrel domain. This family includes the ATP synthase alpha and beta subunits the ATP synthase associated with flagella.		CDD:427029	cellular organisms	131567	33.333	69.0	39.0	2.0	6.0	67.0	1.0	69.0	7.74e-11	56.0			
sp|A0B9K2|AATA_METTP	pfam16886	ATPsynthase alpha/beta subunit N-term extension (Provisional)	ATPsynthase alpha/beta subunit N-term extension. ATP-synt_ab_Xtn is an extension of the alpha-beta catalytic subunit of VATA or V-type proton ATPase catalytic subunit at the N-terminal end. It is found from bacteria to humans, and was not modelled in family ATP-synt_ab, pfam00006.		CDD:465299	cellular organisms	131567	55.372	121.0	49.0	3.0	83.0	199.0	1.0	120.0	1.11e-59	192.0			
sp|A0LEC9|ENO_SYNFM	COG0148	Enolase	Enolase [Carbohydrate transport and metabolism]. Enolase is part of the Pathway/BioSystem: Glycolysis	4.2.1.11	CDD:439918			72.471	425.0	116.0	1.0	1.0	425.0	1.0	424.0	0.0	873.0	METABOLISM	Carbohydrate transport and metabolism 	
sp|A0LEC9|ENO_SYNFM	KOG2670	Enolase	KOG2670, Enolase [Carbohydrate transport and metabolism]		CDD:230609			52.791	430.0	185.0	7.0	4.0	420.0	3.0	427.0	0.0	527.0	METABOLISM	Carbohydrate transport and metabolism 	
sp|A0LEC9|ENO_SYNFM	PRK00077	phosphopyruvate hydratase	enolase; Provisional	4.2.1.11	CDD:234617	cellular organisms	131567	70.824	425.0	121.0	1.0	1.0	425.0	1.0	422.0	0.0	832.0			
sp|A0LEC9|ENO_SYNFM	TIGR01060	phosphopyruvate hydratase	phosphopyruvate hydratase. Alternate name: enolase [Energy metabolism, Glycolysis/gluconeogenesis]	4.2.1.11	CDD:213580	cellular organisms	131567	71.395	423.0	118.0	2.0	4.0	424.0	1.0	422.0	0.0	720.0			
sp|A0LEC9|ENO_SYNFM	cd03313		Enolase: Enolases are homodimeric enzymes that catalyse the reversible dehydration of 2-phospho-D-glycerate to phosphoenolpyruvate as part of the glycolytic and gluconeogenesis pathways. The reaction is facilitated by the presence of metal ions.		CDD:239429			66.422	408.0	135.0	1.0	6.0	411.0	1.0	408.0	0.0	733.0			
sp|A0LEC9|ENO_SYNFM	cl21457		TIM-like beta/alpha barrel domains. This domain includes the enzyme Phosphoenolpyruvate phosphomutase (EC:5.4.2.9). This protein Swiss:O86937 has been characterized as catalysing the formation of a carbon-phosphorus bond by converting phosphoenolpyruvate (PEP) to phosphonopyruvate (P-Pyr). This enzyme has a TIM barrel fold.		CDD:473867															
sp|A0LEC9|ENO_SYNFM	pfam03952	Enolase, N-terminal domain (Provisional)	Enolase, N-terminal domain. 		CDD:461105	cellular organisms	131567	72.519	131.0	36.0	0.0	4.0	134.0	1.0	131.0	5.32e-78	236.0			
sp|A0LEH2|CH601_SYNFM	COG0459	Chaperonin GroEL (HSP60 family)	Chaperonin GroEL (HSP60 family) [Posttranslational modification, protein turnover, chaperones]. 	2.7.1.150	CDD:440227			63.019	530.0	158.0	3.0	1.0	527.0	1.0	495.0	0.0	794.0	CELLULAR PROCESSES AND SIGNALING	Posttranslational modification, protein turnover, chaperones 	
sp|A0LEH2|CH601_SYNFM	KOG0356	Mitochondrial chaperonin, Cpn60/Hsp60p	KOG0356, Mitochondrial chaperonin, Cpn60/Hsp60p [Posttranslational modification, protein turnover, chaperones]		CDD:228305			57.955	528.0	217.0	3.0	2.0	526.0	16.0	541.0	0.0	642.0	CELLULAR PROCESSES AND SIGNALING	Posttranslational modification, protein turnover, chaperones 	
sp|A0LEH2|CH601_SYNFM	KOG0357	Chaperonin complex component, TCP-1 epsilon subunit (CCT5)	KOG0357, Chaperonin complex component, TCP-1 epsilon subunit (CCT5) [Posttranslational modification, protein turnover, chaperones]		CDD:228306			27.333	150.0	96.0	1.0	3.0	152.0	21.0	157.0	3.55e-05	43.7	CELLULAR PROCESSES AND SIGNALING	Posttranslational modification, protein turnover, chaperones 	
sp|A0LEH2|CH601_SYNFM	KOG0358	Chaperonin complex component, TCP-1 delta subunit (CCT4)	KOG0358, Chaperonin complex component, TCP-1 delta subunit (CCT4) [Posttranslational modification, protein turnover, chaperones]		CDD:228307			22.361	559.0	332.0	20.0	12.0	526.0	28.0	528.0	4.07e-14	72.5	CELLULAR PROCESSES AND SIGNALING	Posttranslational modification, protein turnover, chaperones 	
sp|A0LEH2|CH601_SYNFM	KOG0359	Chaperonin complex component, TCP-1 zeta subunit (CCT6)	KOG0359, Chaperonin complex component, TCP-1 zeta subunit (CCT6) [Posttranslational modification, protein turnover, chaperones]		CDD:228308			18.28	558.0	321.0	18.0	22.0	518.0	29.0	512.0	7.82e-07	49.4	CELLULAR PROCESSES AND SIGNALING	Posttranslational modification, protein turnover, chaperones 	
sp|A0LEH2|CH601_SYNFM	KOG0360	Chaperonin complex component, TCP-1 alpha subunit (CCT1)	KOG0360, Chaperonin complex component, TCP-1 alpha subunit (CCT1) [Posttranslational modification, protein turnover, chaperones]		CDD:228309			19.372	573.0	354.0	18.0	11.0	527.0	20.0	540.0	8.24e-10	58.7	CELLULAR PROCESSES AND SIGNALING	Posttranslational modification, protein turnover, chaperones 	
sp|A0LEH2|CH601_SYNFM	KOG0361	Chaperonin complex component, TCP-1 eta subunit (CCT7)	KOG0361, Chaperonin complex component, TCP-1 eta subunit (CCT7) [Posttranslational modification, protein turnover, chaperones]		CDD:228310			23.034	534.0	337.0	20.0	15.0	514.0	22.0	515.0	3.16e-14	72.9	CELLULAR PROCESSES AND SIGNALING	Posttranslational modification, protein turnover, chaperones 	
sp|A0LEH2|CH601_SYNFM	KOG0362	Chaperonin complex component, TCP-1 theta subunit (CCT8)	KOG0362, Chaperonin complex component, TCP-1 theta subunit (CCT8) [Posttranslational modification, protein turnover, chaperones]		CDD:228311			20.149	536.0	337.0	18.0	16.0	514.0	32.0	513.0	2.28e-09	57.4	CELLULAR PROCESSES AND SIGNALING	Posttranslational modification, protein turnover, chaperones 	
sp|A0LEH2|CH601_SYNFM	KOG0363	Chaperonin complex component, TCP-1 beta subunit (CCT2)	KOG0363, Chaperonin complex component, TCP-1 beta subunit (CCT2) [Posttranslational modification, protein turnover, chaperones]		CDD:228312			21.982	555.0	342.0	17.0	11.0	525.0	19.0	522.0	4.05e-14	72.5	CELLULAR PROCESSES AND SIGNALING	Posttranslational modification, protein turnover, chaperones 	
sp|A0LEH2|CH601_SYNFM	KOG0364	Chaperonin complex component, TCP-1 gamma subunit (CCT3)	KOG0364, Chaperonin complex component, TCP-1 gamma subunit (CCT3) [Posttranslational modification, protein turnover, chaperones]		CDD:228313			26.752	157.0	103.0	3.0	23.0	171.0	32.0	184.0	1.43e-06	48.3	CELLULAR PROCESSES AND SIGNALING	Posttranslational modification, protein turnover, chaperones 	
sp|A0LEH2|CH601_SYNFM	PRK00013	chaperonin GroEL	chaperonin GroEL; Reviewed		CDD:234573	cellular organisms	131567	73.724	529.0	137.0	2.0	1.0	527.0	1.0	529.0	0.0	996.0			
sp|A0LEH2|CH601_SYNFM	TIGR02348	chaperonin GroEL	chaperonin GroL. This family consists of GroEL, the larger subunit of the GroEL/GroES cytosolic chaperonin. It is found in bacteria, organelles derived from bacteria, and occasionally in the Archaea. The bacterial GroEL/GroES group I chaperonin is replaced a group II chaperonin, usually called the thermosome in the Archaeota and CCT (chaperone-containing TCP) in the Eukaryota. GroEL, thermosome subunits, and CCT subunits all fall under the scope of pfam00118. [Protein fate, Protein folding and stabilization]		CDD:274089	cellular organisms	131567	75.191	524.0	129.0	1.0	2.0	524.0	1.0	524.0	0.0	881.0			
sp|A0LEH2|CH601_SYNFM	cd03344		GroEL_like type I chaperonin. Chaperonins are involved in productive folding of proteins. They share a common general morphology, a double toroid of 2 stacked rings, each composed of 7-9 subunits. The symmetry of type I is seven-fold and they are found in eubacteria (GroEL) and in organelles of eubacterial descent (hsp60 and RBP). With the aid of cochaperonin GroES, GroEL encapsulates non-native substrate proteins inside the cavity of the GroEL-ES complex and promotes folding by using energy derived from ATP hydrolysis.		CDD:239460			72.885	520.0	140.0	1.0	3.0	521.0	1.0	520.0	0.0	907.0			
sp|A0LEH2|CH601_SYNFM	pfam00118	TCP-1/cpn60 chaperonin family (Provisional)	TCP-1/cpn60 chaperonin family. This family includes members from the HSP60 chaperone family and the TCP-1 (T-complex protein) family.		CDD:395068	cellular organisms	131567	24.359	546.0	311.0	15.0	22.0	522.0	1.0	489.0	1.38e-84	269.0			
sp|A0LI20|RISB_SYNFM	COG0054	6,7-dimethyl-8-ribityllumazine synthase (Riboflavin synthase beta chain)	6,7-dimethyl-8-ribityllumazine synthase (Riboflavin synthase beta chain) [Coenzyme transport and metabolism]. 6,7-dimethyl-8-ribityllumazine synthase (Riboflavin synthase beta chain) is part of the Pathway/BioSystem: Riboflavin/FAD biosynthesis	2.5.1.78	CDD:439824			69.079	152.0	47.0	0.0	3.0	154.0	1.0	152.0	1.17e-96	272.0	METABOLISM	Coenzyme transport and metabolism 	
sp|A0LI20|RISB_SYNFM	KOG3243	6,7-dimethyl-8-ribityllumazine synthase	KOG3243, 6,7-dimethyl-8-ribityllumazine synthase [Coenzyme transport and metabolism]		CDD:231181			43.571	140.0	78.0	1.0	11.0	149.0	16.0	155.0	5.1999999999999996e-46	145.0	METABOLISM	Coenzyme transport and metabolism 	
sp|A0LI20|RISB_SYNFM	PRK00061	6,7-dimethyl-8-ribityllumazine synthase	6,7-dimethyl-8-ribityllumazine synthase; Provisional	2.5.1.78	CDD:234606	Proteobacteria	1224	73.377	154.0	41.0	0.0	1.0	154.0	1.0	154.0	8.54e-92	261.0			
sp|A0LI20|RISB_SYNFM	PRK00061	6,7-dimethyl-8-ribityllumazine synthase	6,7-dimethyl-8-ribityllumazine synthase; Provisional	2.5.1.78	CDD:234606	cellular organisms	131567	73.377	154.0	41.0	0.0	1.0	154.0	1.0	154.0	8.54e-92	261.0			
sp|A0LI20|RISB_SYNFM	PRK00061	6,7-dimethyl-8-ribityllumazine synthase	6,7-dimethyl-8-ribityllumazine synthase; Provisional	2.5.1.78	CDD:234606	Bacteria	2	73.377	154.0	41.0	0.0	1.0	154.0	1.0	154.0	8.54e-92	261.0			
sp|A0LI20|RISB_SYNFM	PRK00061	6,7-dimethyl-8-ribityllumazine synthase	6,7-dimethyl-8-ribityllumazine synthase; Provisional	2.5.1.78	CDD:234606	Archaea	2157	73.377	154.0	41.0	0.0	1.0	154.0	1.0	154.0	8.54e-92	261.0			
sp|A0LI20|RISB_SYNFM	TIGR00114	6,7-dimethyl-8-ribityllumazine synthase	6,7-dimethyl-8-ribityllumazine synthase. This enzyme catalyzes the cyclo-ligation of 3,4-dihydroxy-2-butanone-4-P and 5-amino-6-ribitylamino-2,4(1H,3H)-pyrimidinedione to form 6,7-dimethyl-8-ribityllumazine, the immediate precursor of riboflavin. Sometimes referred to as riboflavin synthase, beta subunit, this should not be confused with the alpha subunit which carries out the subsequent reaction. Archaeal members of this family are considered putative, although included in the seed and scoring above the trusted cutoff. [Biosynthesis of cofactors, prosthetic groups, and carriers, Riboflavin, FMN, and FAD]	2.5.1.78	CDD:211550	cellular organisms	131567	66.667	138.0	46.0	0.0	13.0	150.0	1.0	138.0	1.33e-68	201.0			
sp|A0LI20|RISB_SYNFM	cd09209		lumazine synthase (6,7-dimethyl-8-ribityllumazine synthase, LS), catalyzes the penultimate step in the biosynthesis of riboflavin (vitamin B2); type-I. Type-I LS, also known as RibH1, catalyzes the penultimate step in the biosynthesis of riboflavin in plants and microorganisms. LS catalyse the formation of 6,7-dimethyl-8-ribityllumazine by the condensation of 5-amino-6-ribitylamino-2,4(1H,3H)-pyrimidinedione with 3,4-dihydroxy- 2-butanone-4-phosphate. Subsequently, the lumazine intermediate dismutates to yield riboflavin and 5-amino-6-ribitylamino- 2,4(1H,3H)-pyrimidinedione, in a reaction catalyzed by riboflavin synthase synthase (RS); RS belongs to a different family of the Lumazine-synthase-like superfamily. Riboflavin is the precursor of flavin mononucleotide (FMN) and flavin adenine dinucleotide (FAD) which are essential cofactors for the catalysis of a wide range of redox reactions. These cofactors are also involved in many other processes involving DNA repair, circadian time-keeping, light sensing, and bioluminescence. Riboflavin is biosynthesized in plants, fungi and certain microorganisms; as animals lack the necessary enzymes to produce this vitamin, they acquire it from dietary sources. Type II LSs are distinct from type-I LS not only in protein sequence, but in that they exhibit different quaternary assemblies; type-I LSs form pentamers. The pathogen Brucella spp. encode both a Type-I LS and a Type-II LS called RibH1 and RibH2, respectively. RibH1/type-I LS  appears to be the functional LS in Brucella spp., whereas RibH2/type-II LS has much lower catalytic activity as LS. The pathogen Brucella spp. have both a type-I LS and a type-II LS called RibH1 and RibH2, respectively. RibH1/type-I LS appears to be a functional LS in Brucella spp., whereas RibH2/type-II LS has much lower catalytic activity as LS.		CDD:187742			66.917	133.0	44.0	0.0	15.0	147.0	1.0	133.0	5.389999999999999e-81	233.0			
sp|A0LI20|RISB_SYNFM	pfam00885	6,7-dimethyl-8-ribityllumazine synthase	6,7-dimethyl-8-ribityllumazine synthase. This family includes the beta chain of 6,7-dimethyl-8- ribityllumazine synthase EC:2.5.1.9, an enzyme involved in riboflavin biosynthesis. The family also includes a subfamily of distant archaebacterial proteins that may also have the same function for example Swiss:O28856. The family contains a number of different subsets including a family of proteins comprising archaeal lumazine and riboflavin synthases, type I lumazine synthases, and the eubacterial type II lumazine synthases. It has been established that lumazine synthase catalyzes the penultimate step in the biosynthesis of riboflavin in plants and microorganizms. The type I lumazine synthases area active in pentameric or icosahedral quaternary assemblies, whereas the type II are decameric. Brucella, a bacterial genus that causes brucellosis, and other Rhizobiales have an atypical riboflavin metabolic pathway. Brucella spp code for both a type-I and a type-II lumazine synthase, and it has been shown that at least one of these two has to be present in order for Brucella to be viable, showing that in the case of Brucella flavin metabolism is implicated in bacterial virulence.		CDD:459980	cellular organisms	131567	71.111	135.0	38.0	1.0	12.0	146.0	1.0	134.0	1.17e-83	240.0			
sp|A0LIH6|EFTU_SYNFM	COG0050	Translation elongation factor EF-Tu, a GTPase	Translation elongation factor EF-Tu, a GTPase [Translation, ribosomal structure and biogenesis]. Translation elongation factor EF-Tu, a GTPase is part of the Pathway/BioSystem: Translation factors		CDD:439820			79.597	397.0	80.0	1.0	1.0	397.0	1.0	396.0	0.0	838.0	INFORMATION STORAGE AND PROCESSING	Translation, ribosomal structure and biogenesis 	K02358
sp|A0LIH6|EFTU_SYNFM	KOG0052	Translation elongation factor EF-1 alpha/Tu	KOG0052, Translation elongation factor EF-1 alpha/Tu [Translation, ribosomal structure and biogenesis]		CDD:228003			27.209	430.0	200.0	14.0	10.0	392.0	5.0	368.0	1.0799999999999999e-23	99.1	INFORMATION STORAGE AND PROCESSING	Translation, ribosomal structure and biogenesis 	
sp|A0LIH6|EFTU_SYNFM	KOG0458	Elongation factor 1 alpha	KOG0458, Elongation factor 1 alpha [Translation, ribosomal structure and biogenesis]		CDD:228407			26.726	449.0	264.0	20.0	3.0	397.0	166.0	603.0	1.06e-47	169.0	INFORMATION STORAGE AND PROCESSING	Translation, ribosomal structure and biogenesis 	
sp|A0LIH6|EFTU_SYNFM	KOG0459	Polypeptide release factor 3	KOG0459, Polypeptide release factor 3 [Translation, ribosomal structure and biogenesis]		CDD:228408			25.11	454.0	251.0	18.0	7.0	397.0	74.0	501.0	2.2e-37	139.0	INFORMATION STORAGE AND PROCESSING	Translation, ribosomal structure and biogenesis 	
sp|A0LIH6|EFTU_SYNFM	KOG0460	Mitochondrial translation elongation factor Tu	KOG0460, Mitochondrial translation elongation factor Tu [Translation, ribosomal structure and biogenesis]		CDD:228409			67.929	396.0	126.0	1.0	2.0	397.0	44.0	438.0	0.0	671.0	INFORMATION STORAGE AND PROCESSING	Translation, ribosomal structure and biogenesis 	
sp|A0LIH6|EFTU_SYNFM	KOG0461	Selenocysteine-specific elongation factor	KOG0461, Selenocysteine-specific elongation factor [Translation, ribosomal structure and biogenesis]		CDD:228410			29.904	311.0	178.0	12.0	13.0	308.0	8.0	293.0	1.4800000000000002e-43	156.0	INFORMATION STORAGE AND PROCESSING	Translation, ribosomal structure and biogenesis 	
sp|A0LIH6|EFTU_SYNFM	KOG0462	Elongation factor-type GTP-binding protein	KOG0462, Elongation factor-type GTP-binding protein [Translation, ribosomal structure and biogenesis]		CDD:228411			32.117	274.0	151.0	11.0	14.0	276.0	62.0	311.0	1.11e-28	115.0	INFORMATION STORAGE AND PROCESSING	Translation, ribosomal structure and biogenesis 	
sp|A0LIH6|EFTU_SYNFM	KOG0463	GTP-binding protein GP-1	KOG0463, GTP-binding protein GP-1 [General function prediction only]		CDD:228412			23.57	437.0	258.0	22.0	13.0	396.0	134.0	547.0	7.4e-08	51.9	POORLY CHARACTERIZED	General function prediction only 	
sp|A0LIH6|EFTU_SYNFM	KOG0464	Elongation factor G	KOG0464, Elongation factor G [Translation, ribosomal structure and biogenesis]		CDD:228413			31.061	132.0	80.0	3.0	14.0	139.0	39.0	165.0	7.68e-12	64.7	INFORMATION STORAGE AND PROCESSING	Translation, ribosomal structure and biogenesis 	
sp|A0LIH6|EFTU_SYNFM	KOG0465	Mitochondrial elongation factor	KOG0465, Mitochondrial elongation factor [Translation, ribosomal structure and biogenesis]		CDD:228414			33.083	133.0	76.0	4.0	14.0	139.0	41.0	167.0	1.19e-15	76.2	INFORMATION STORAGE AND PROCESSING	Translation, ribosomal structure and biogenesis 	
sp|A0LIH6|EFTU_SYNFM	KOG0466	Translation initiation factor 2, gamma subunit (eIF-2gamma; GTPase)	KOG0466, Translation initiation factor 2, gamma subunit (eIF-2gamma; GTPase) [Translation, ribosomal structure and biogenesis]		CDD:228415			26.481	287.0	135.0	9.0	13.0	253.0	39.0	295.0	7.17e-20	88.7	INFORMATION STORAGE AND PROCESSING	Translation, ribosomal structure and biogenesis 	
sp|A0LIH6|EFTU_SYNFM	KOG0467	Translation elongation factor 2/ribosome biogenesis protein RIA1 and related proteins	KOG0467, Translation elongation factor 2/ribosome biogenesis protein RIA1 and related proteins [Translation, ribosomal structure and biogenesis]		CDD:228416			29.412	136.0	75.0	6.0	14.0	139.0	11.0	135.0	1.27e-12	67.2	INFORMATION STORAGE AND PROCESSING	Translation, ribosomal structure and biogenesis 	
sp|A0LIH6|EFTU_SYNFM	KOG0468	U5 snRNP-specific protein	KOG0468, U5 snRNP-specific protein [Translation, ribosomal structure and biogenesis]		CDD:228417			31.111	135.0	86.0	4.0	13.0	141.0	129.0	262.0	2.38e-13	69.5	INFORMATION STORAGE AND PROCESSING	Translation, ribosomal structure and biogenesis 	
sp|A0LIH6|EFTU_SYNFM	KOG0469	Elongation factor 2	KOG0469, Elongation factor 2 [Translation, ribosomal structure and biogenesis]		CDD:228418			32.099	162.0	74.0	10.0	1.0	139.0	13.0	161.0	9.47e-10	57.9	INFORMATION STORAGE AND PROCESSING	Translation, ribosomal structure and biogenesis 	
sp|A0LIH6|EFTU_SYNFM	KOG1143	Predicted translation elongation factor	KOG1143, Predicted translation elongation factor [Translation, ribosomal structure and biogenesis]		CDD:229086			22.727	440.0	258.0	19.0	13.0	395.0	168.0	582.0	3.36e-09	56.0	INFORMATION STORAGE AND PROCESSING	Translation, ribosomal structure and biogenesis 	
sp|A0LIH6|EFTU_SYNFM	KOG1144	Translation initiation factor 5B (eIF-5B)	KOG1144, Translation initiation factor 5B (eIF-5B) [Translation, ribosomal structure and biogenesis]		CDD:229087			30.0	130.0	74.0	3.0	19.0	139.0	482.0	603.0	8.45e-07	48.7	INFORMATION STORAGE AND PROCESSING	Translation, ribosomal structure and biogenesis 	
sp|A0LIH6|EFTU_SYNFM	KOG1145	Mitochondrial translation initiation factor 2 (IF-2; GTPase)	KOG1145, Mitochondrial translation initiation factor 2 (IF-2; GTPase) [Translation, ribosomal structure and biogenesis]		CDD:229088			30.142	282.0	157.0	14.0	4.0	281.0	147.0	392.0	3.55e-18	84.0	INFORMATION STORAGE AND PROCESSING	Translation, ribosomal structure and biogenesis 	
sp|A0LIH6|EFTU_SYNFM	PRK00049	elongation factor Tu	elongation factor Tu; Reviewed		CDD:234596	Bacteria	2	80.605	397.0	76.0	1.0	1.0	397.0	1.0	396.0	0.0	844.0			
sp|A0LIH6|EFTU_SYNFM	TIGR00485	elongation factor Tu	translation elongation factor TU. This model models orthologs of translation elongation factor EF-Tu in bacteria, mitochondria, and chloroplasts, one of several GTP-binding translation factors found by the more general pfam model GTP_EFTU. The eukaryotic conterpart, eukaryotic translation elongation factor 1 (eEF-1 alpha), is excluded from this model. EF-Tu is one of the most abundant proteins in bacteria, as well as one of the most highly conserved, and in a number of species the gene is duplicated with identical function. When bound to GTP, EF-Tu can form a complex with any (correctly) aminoacylated tRNA except those for initiation and for selenocysteine, in which case EF-Tu is replaced by other factors. Transfer RNA is carried to the ribosome in these complexes for protein translation. [Protein synthesis, Translation factors]		CDD:129576	Bacteria	2	76.826	397.0	89.0	2.0	1.0	397.0	1.0	394.0	0.0	694.0			
